family,month,mentions_12m,videos_12m,soc_share
Peach & stone fruit,2022-09,4,229,0.019417
Tea & botanical,2022-09,29,229,0.140777
Punch & mixed fruit,2022-09,8,229,0.038835
Watermelon,2022-10,17,243,0.082126
Coffee & cream,2022-10,36,243,0.173913
Sour & candy,2022-10,18,243,0.086957
Cola & soda,2022-10,7,243,0.033816
Berry,2022-10,32,243,0.154589
Tropical,2022-10,14,243,0.067633
Citrus,2022-10,20,243,0.096618
Grape,2022-10,4,243,0.019324
Apple & pear,2022-10,20,243,0.096618
Peach & stone fruit,2022-10,5,243,0.024155
Tea & botanical,2022-10,27,243,0.130435
Punch & mixed fruit,2022-10,7,243,0.033816
Watermelon,2022-11,18,250,0.084507
Coffee & cream,2022-11,37,250,0.173709
Sour & candy,2022-11,17,250,0.079812
Cola & soda,2022-11,8,250,0.037559
Berry,2022-11,31,250,0.14554
Tropical,2022-11,15,250,0.070423
Citrus,2022-11,22,250,0.103286
Grape,2022-11,5,250,0.023474
Apple & pear,2022-11,20,250,0.093897
Peach & stone fruit,2022-11,5,250,0.023474
Tea & botanical,2022-11,28,250,0.131455
Punch & mixed fruit,2022-11,7,250,0.032864
Watermelon,2022-12,19,262,0.084821
Coffee & cream,2022-12,40,262,0.178571
Sour & candy,2022-12,17,262,0.075893
Cola & soda,2022-12,8,262,0.035714
Berry,2022-12,32,262,0.142857
Tropical,2022-12,17,262,0.075893
Citrus,2022-12,22,262,0.098214
Grape,2022-12,5,262,0.022321
Apple & pear,2022-12,22,262,0.098214
Peach & stone fruit,2022-12,5,262,0.022321
Tea & botanical,2022-12,31,262,0.138393
Punch & mixed fruit,2022-12,6,262,0.026786
Watermelon,2023-01,21,283,0.088235
Coffee & cream,2023-01,40,283,0.168067
Sour & candy,2023-01,15,283,0.063025
Cola & soda,2023-01,8,283,0.033613
Berry,2023-01,37,283,0.155462
Tropical,2023-01,19,283,0.079832
Citrus,2023-01,22,283,0.092437
Grape,2023-01,5,283,0.021008
Apple & pear,2023-01,23,283,0.096639
Peach & stone fruit,2023-01,8,283,0.033613
Tea & botanical,2023-01,32,283,0.134454
Punch & mixed fruit,2023-01,8,283,0.033613
Watermelon,2023-02,17,283,0.074236
Coffee & cream,2023-02,35,283,0.152838
Sour & candy,2023-02,13,283,0.056769
Cola & soda,2023-02,7,283,0.030568
Berry,2023-02,38,283,0.165939
Tropical,2023-02,21,283,0.091703
Citrus,2023-02,20,283,0.087336
Grape,2023-02,5,283,0.021834
Apple & pear,2023-02,23,283,0.100437
Peach & stone fruit,2023-02,10,283,0.043668
Tea & botanical,2023-02,31,283,0.135371
Punch & mixed fruit,2023-02,9,283,0.039301
Watermelon,2023-03,17,299,0.072961
Coffee & cream,2023-03,32,299,0.137339
Sour & candy,2023-03,16,299,0.06867
Cola & soda,2023-03,7,299,0.030043
Berry,2023-03,42,299,0.180258
Tropical,2023-03,22,299,0.094421
Citrus,2023-03,23,299,0.098712
Grape,2023-03,5,299,0.021459
Apple & pear,2023-03,24,299,0.103004
Peach & stone fruit,2023-03,10,299,0.042918
Tea & botanical,2023-03,29,299,0.124464
